ASN,ASN_NAME,SOURCE,ASOF_DATE
211942,AS211942,PeeringDB,2021-12-31
211940,AS-FUZE,PeeringDB,2021-12-31
8844,RIPE::AS-COMMUNITY RIPE::AS-COMMUNITY-V6,PeeringDB,2021-12-31
210129,AS210129,PeeringDB,2021-12-31
59954,AS-TN-IX,PeeringDB,2021-12-31
59956,RIPE::AS-EU-IX,PeeringDB,2021-12-31
271412,AS-FRSOUSA,PeeringDB,2021-12-31
271410,AS271410:AS-SMART,PeeringDB,2021-12-31
271417,AS271417:AS-ACESSO,PeeringDB,2021-12-31
271415,AS271415,PeeringDB,2021-12-31
146863,AS146863:AS-SHYAMDATA,PeeringDB,2021-12-31
7667,AS7667,PeeringDB,2021-12-31
147190,AS147190,PeeringDB,2021-12-31
212022,AS-RN-NET1,PeeringDB,2021-12-31
58682,AS-58682,PeeringDB,2021-12-31
212027,AS-PEBBLEHOST,PeeringDB,2021-12-31
142343,AS142343,PeeringDB,2021-12-31
37168,AS-CELLC,PeeringDB,2021-12-31
197669,AS-CLOUDCALL-UK,PeeringDB,2021-12-31
58689,AS-58689,PeeringDB,2021-12-31
269627,TC::AS269627:AS-EXAINTERNET,PeeringDB,2021-12-31
268283,TC::AS268283:AS-NETFIBER,PeeringDB,2021-12-31
1764,RIPE::AS-NEXTLAYER,PeeringDB,2021-12-31
29596,AS-5526TR,PeeringDB,2021-12-31
40220,AS40220:AS-ALL,PeeringDB,2021-12-31
267085,AS-VERO-INTERNET-CUSTOMER,PeeringDB,2021-12-31
267088,AS267088,PeeringDB,2021-12-31
137329,AS137329,PeeringDB,2021-12-31
50088,AS50088,PeeringDB,2021-12-31
24554,AS24554:AS-FIVE-NET-IN,PeeringDB,2021-12-31
24557,AS-UBERGLOBAL,PeeringDB,2021-12-31
50083,AS-HERMESTELECOM,PeeringDB,2021-12-31
50087,AS-OUVANET,PeeringDB,2021-12-31
262901,AS262901:AS-VCNET,PeeringDB,2021-12-31
1547,AS-IDK,PeeringDB,2021-12-31
262903,AS-262903,PeeringDB,2021-12-31
207671,AS-Y0SH,PeeringDB,2021-12-31
47687,AS-NETRADTEL,PeeringDB,2021-12-31
262907,AS262907:AS-BRASILTECPAR-ALL,PeeringDB,2021-12-31
262906,AS262906,PeeringDB,2021-12-31
212793,RIPE::AS-XIWEI,PeeringDB,2021-12-31
262908,AS-JATOCONECT,PeeringDB,2021-12-31
47688,RIPE::AS-FASTIC,PeeringDB,2021-12-31
14340,AS-SALESFORCE,PeeringDB,2021-12-31
11114,AS-11114,PeeringDB,2021-12-31
212795,AS-ATHENE,PeeringDB,2021-12-31
212794,AS-ONMETAL,PeeringDB,2021-12-31
34300,AS-RU-SPACENET,PeeringDB,2021-12-31
264760,AS264760:AS-ALL,PeeringDB,2021-12-31
34305,AS-BASEIP,PeeringDB,2021-12-31
34304,AS-TEEN,PeeringDB,2021-12-31
264765,AS264765:AS-VANET,PeeringDB,2021-12-31
8717,AS-SPNET,PeeringDB,2021-12-31
34309,RIPE::AS-LINK11,PeeringDB,2021-12-31
394354,RADB::AS-394354,PeeringDB,2021-12-31
394353,AS-BROOT,PeeringDB,2021-12-31
31577,AS-PRORED,PeeringDB,2021-12-31
13845,AS-ESTRUXTURE,PeeringDB,2021-12-31
50886,AS50886,PeeringDB,2021-12-31
263237,AS263237:AS-POWERHOST,PeeringDB,2021-12-31
263238,AS263238:AS-FIBRAMAX,PeeringDB,2021-12-31
15164,AS15164:AS-ALL,PeeringDB,2021-12-31
267263,AS-267263VIVATEL,PeeringDB,2021-12-31
267262,AS267262,PeeringDB,2021-12-31
32867,AS32867:AS-ALL,PeeringDB,2021-12-31
5619,AS-TIETOEVRY-NO,PeeringDB,2021-12-31
207495,AS-207495,PeeringDB,2021-12-31
5617,AS-TPNET,PeeringDB,2021-12-31
207491,AS207491:AS-ALL,PeeringDB,2021-12-31
270035,AS270035,PeeringDB,2021-12-31
