ASN,ASN_NAME,SOURCE,ASOF_DATE
21385,TNIB,ASRank,2022-09-14
400282,UPX,ASRank,2022-09-14
8449,AS8449-ELCAT,ASRank,2022-09-14
25227,ASN-AVANTEL-MSK,ASRank,2022-09-14
56534,PIRIX-INET-AS,ASRank,2022-09-14
132876,SYMPHONY-AP-TH,ASRank,2022-09-14
9885,NKN-INTERNET-GW,ASRank,2022-09-14
35000,SEVEREN-TELECOM_TRANSIT,ASRank,2022-09-14
58656,BDHUB-BD,ASRank,2022-09-14
4847,CNIX-AP,ASRank,2022-09-14
7632,Linknet-Exchange-AS-ID,ASRank,2022-09-14
7568,CSLOX-IIG-AS-AP,ASRank,2022-09-14
56258,PGAS-AS-ID,ASRank,2022-09-14
45903,CMCTELECOM-AS-VN,ASRank,2022-09-14
34309,LINK11,ASRank,2022-09-14
12083,WOW-INTERNET,ASRank,2022-09-14
132215,POWERGRID-IN,ASRank,2022-09-14
55352,MCPL-IN,ASRank,2022-09-14
9829,BSNL-NIB,ASRank,2022-09-14
8412,TMA,ASRank,2022-09-14
9507,NEXTHOP-AS-AP,ASRank,2022-09-14
45296,NUSANTARA-AS-ID,ASRank,2022-09-14
2687,ATGS-MMD-AS,ASRank,2022-09-14
25255,H3G-Austria-AS,ASRank,2022-09-14
19151,BBO-1,ASRank,2022-09-14
42708,PORTLANE,ASRank,2022-09-14
52091,LEVEL-MSK-AS,ASRank,2022-09-14
17451,BIZNET-AS-AP,ASRank,2022-09-14
31261,GARS-AS,ASRank,2022-09-14
33652,CMCS,ASRank,2022-09-14
33363,BHN-33363,ASRank,2022-09-14
11796,AIRSTREAMCOMM-NET,ASRank,2022-09-14
60388,TRANSNEFT-TELECOM-AS,ASRank,2022-09-14
7795,LUMOS,ASRank,2022-09-14
35805,SILKNET-AS,ASRank,2022-09-14
12310,iNES,ASRank,2022-09-14
12779,ITGATE,ASRank,2022-09-14
20632,PETERSTAR-AS,ASRank,2022-09-14
48084,UMLC,ASRank,2022-09-14
55824,NKN-CORE-NW,ASRank,2022-09-14
35753,ITC,ASRank,2022-09-14
16086,DNA,ASRank,2022-09-14
15305,SYRINGANETWORKS,ASRank,2022-09-14
38731,VTDC-AS-VN,ASRank,2022-09-14
42861,FOTONTELECOM-TRANSIT-AS,ASRank,2022-09-14
12025,IMDC-AS12025,ASRank,2022-09-14
9119,SOFTNET-AS,ASRank,2022-09-14
55794,LYNX-AS-AP,ASRank,2022-09-14
34927,iFog-GmbH,ASRank,2022-09-14
7342,VERISIGN-AS,ASRank,2022-09-14
8452,TE-AS,ASRank,2022-09-14
7725,COMCAST-7725,ASRank,2022-09-14
5056,AUREON-5056,ASRank,2022-09-14
719,ELISA-AS,ASRank,2022-09-14
8932,UCOMINT,ASRank,2022-09-14
8767,MNET-AS,ASRank,2022-09-14
35819,Mobily-AS,ASRank,2022-09-14
33650,COMCAST-33650,ASRank,2022-09-14
40676,AS40676,ASRank,2022-09-14
11272,TELEPAK-NETWORKS-INC,ASRank,2022-09-14
19108,SUDDENLINK-COMMUNICATIONS,ASRank,2022-09-14
19009,ONECLEVELAND,ASRank,2022-09-14
4515,ERX-STAR,ASRank,2022-09-14
61135,COMNET-DATACENTER-ISTANBUL,ASRank,2022-09-14
