ASN,LATITUDE,LONGITUDE,SOURCE,VALIDATED,STANDARD_LATITUDE,STANDARD_LONGITUDE,STANDARD_CITY,STANDARD_STATE,STANDARD_COUNTRY,PHYSICAL_PRESENCE,ASOF_DATE
33808,50.0987,8.6323,RIPEAtlas,,50.0999768261,8.67501542017,Frankfurt,Hessen,DE,False,2022-09-15
34549,50.1398,8.7432,RIPEAtlas,,50.0999768261,8.67501542017,Frankfurt,Hessen,DE,False,2022-09-15
34854,50.1396,8.743,RIPEAtlas,,50.0999768261,8.67501542017,Frankfurt,Hessen,DE,False,2022-09-15
3491,50.1137,8.6954,RIPEAtlas,,50.0999768261,8.67501542017,Frankfurt,Hessen,DE,False,2022-09-15
39063,50.1205,8.737,RIPEAtlas,,50.0999768261,8.67501542017,Frankfurt,Hessen,DE,False,2022-09-15
39533,50.0988,8.632,RIPEAtlas,,50.0999768261,8.67501542017,Frankfurt,Hessen,DE,False,2022-09-15
42263,50.1282,8.6014,RIPEAtlas,,50.0999768261,8.67501542017,Frankfurt,Hessen,DE,False,2022-09-15
43996,50.1109,8.6821,RIPEAtlas,,50.0999768261,8.67501542017,Frankfurt,Hessen,DE,False,2022-09-15
47950,50.1223,8.7376,RIPEAtlas,,50.0999768261,8.67501542017,Frankfurt,Hessen,DE,False,2022-09-15
48918,50.1196,8.7347,RIPEAtlas,,50.0999768261,8.67501542017,Frankfurt,Hessen,DE,False,2022-09-15
49024,50.0982,8.5876,RIPEAtlas,,50.0999768261,8.67501542017,Frankfurt,Hessen,DE,False,2022-09-15
5580,50.12,8.7353,RIPEAtlas,,50.0999768261,8.67501542017,Frankfurt,Hessen,DE,False,2022-09-15
56381,50.1396,8.7433,RIPEAtlas,,50.0999768261,8.67501542017,Frankfurt,Hessen,DE,False,2022-09-15
58057,50.1396,8.7429,RIPEAtlas,,50.0999768261,8.67501542017,Frankfurt,Hessen,DE,False,2022-09-15
61438,50.1193,8.7361,RIPEAtlas,,50.0999768261,8.67501542017,Frankfurt,Hessen,DE,False,2022-09-15
63949,50.0969,8.6442,RIPEAtlas,,50.0999768261,8.67501542017,Frankfurt,Hessen,DE,False,2022-09-15
64473,50.1396,8.7429,RIPEAtlas,,50.0999768261,8.67501542017,Frankfurt,Hessen,DE,False,2022-09-15
8763,50.1189,8.7352,RIPEAtlas,,50.0999768261,8.67501542017,Frankfurt,Hessen,DE,False,2022-09-15
8763,50.1071,8.6638,RIPEAtlas,,50.0999768261,8.67501542017,Frankfurt,Hessen,DE,False,2022-09-15
8319,50.5558,9.6808,RIPEAtlas,,51.3000069367,9.50002966171,Kassel,Hessen,DE,False,2022-09-15
553,48.0479,8.2095,RIPEAtlas,,48.0004150585,7.86994828149,Freiburg,Baden-Württemberg,DE,False,2022-09-15
56357,48.2623,11.6698,RIPEAtlas,,48.129942036,11.5749934475,Munich,Bayern,DE,False,2022-09-15
56357,48.2625,11.668,RIPEAtlas,,48.129942036,11.5749934475,Munich,Bayern,DE,False,2022-09-15
39835,51.5452,9.9301,RIPEAtlas,,51.5204327587,9.92000402695,Göttingen,Niedersachsen,DE,False,2022-09-15
206549,48.064,11.5565,RIPEAtlas,,48.129942036,11.5749934475,Munich,Bayern,DE,False,2022-09-15
12731,53.5498,10.0483,RIPEAtlas,,53.5500246369,9.99999914413,Hamburg,Hamburg,DE,False,2022-09-15
12731,53.55,10.0483,RIPEAtlas,,53.5500246369,9.99999914413,Hamburg,Hamburg,DE,False,2022-09-15
199938,53.551,10.0387,RIPEAtlas,,53.5500246369,9.99999914413,Hamburg,Hamburg,DE,False,2022-09-15
