CITY_NAME,STATE_PROVINCE,COUNTRY_CODE,CITY_LATITUDE,CITY_LONGITUDE
Cyangugu,Western,RW,-2.47960447298,28.8999824613
Bujumbura,Bujumbura Mairie,BI,-3.37608722037,29.3600060615
Gitarama,Southern,RW,-2.06960365917,29.7599816475
Bubanza,Bubanza,BI,-3.08330098404,29.3667035125
Kibuye,Western,RW,-2.05000198533,29.3499995919
Gisenyi,Western,RW,-1.68466591503,29.2629060453
Goma,Nord-Kivu,CD,-1.67879910092,29.2217868022
Nyanza,Southern,RW,-2.34958656933,29.7400345446
Kisoro,Kisoro,UG,-1.3538889,29.6983333
Kasese,Kasese,UG,0.23247804657,29.9882881253
Lubutu,Maniema,CD,-0.73288938508,26.5833280016
Luebo,Kasaï-Occidental,CD,-5.34950681674,21.4100003649
Kigoma,Kigoma,TZ,-4.87961301791,29.610016641
Kasulu,Kigoma,TZ,-4.57957965202,30.1000125719
Kanyato,Kigoma,TZ,-4.45653806673,30.26139807
Kayanza,Kayanza,BI,-2.89999787893,29.566701602
Ruyigi,Ruyigi,BI,-3.4810019048,30.2439965976
Rutana,Rutana,BI,-3.93100195025,29.993004553
Gitega,Muramvya,BI,-3.42600665397,29.8435941149
Sikonge,Tabora,TZ,-5.62954140333,32.7700304756
Bururi,Bururi,BI,-3.95072914746,29.6165795479
Muyinga,Muyinga,BI,-2.8523465791,30.3172602933
Gikongoro,Southern,RW,-2.48329794474,29.566701602
Ngozi,Ngozi,BI,-2.91200388389,29.8250015705
Karusi,Karuzi,BI,-3.09999596849,30.1629964835
Muramvya,Muramvya,BI,-3.26099700633,29.6119986166
Cankuzo,Cankuzo,BI,-3.16670392087,30.5166966231
Sumbawanga,Rukwa,TZ,-7.95958005893,31.6200231514
Kibungo,Eastern,RW,-2.16669593181,30.5333015845
Kirundo,Kirundo,BI,-2.5847222,30.0972222
Kigali,Kigali City,RW,-1.95359006868,30.0605317777
Byumba,Northern,RW,-1.57955605175,30.0600150134
Ruhengeri,Northern,RW,-1.49961261099,29.6300154203
Kakonko,Kigoma,TZ,-3.27960732129,30.9600117581
Ntungamo,Ntungamo,UG,-0.8794444,30.2641667
Katwe,Kasese,UG,-0.1296187145,29.9200235583
Kabale,Kabale,UG,-1.24960203156,29.9799682197
Ngara,Kagera,TZ,-2.46952756868,30.6500048408
Mbarara,Kashari,UG,-0.5996158662,30.6500048408
Kibale,Kibale,UG,0.8,31.0666667
Kabwe,Central,ZM,-14.4400113741,28.4499840889
Mzuzu,Mzimba,MW,-11.4599865531,34.0199800199
Chitipa,Chitipa,MW,-9.71621702183,33.2666409899
Chinsali,Northern,ZM,-10.5496028454,32.0599962959
Lundazi,Eastern,ZM,-12.2895483207,33.1700060615
Kapiri Mposhi,Central,ZM,-13.9696008109,28.6599971097
Nkhata Bay,Nkhata Bay,MW,-11.5996162731,34.3000146065
Mzimba,Mzimba,MW,-11.9,33.6
Nkhotakota,Nkhotakota,MW,-12.9162800915,34.3000146065
Lichinga,Nassa,MZ,-13.3000292777,35.2400089099
Mbamba Bay,Ruvuma,TZ,-11.2829430961,34.7666011136
Babati,Arusha,TZ,-4.21954994824,35.7500036201
Oldeani,Arusha,TZ,-3.34962888704,35.5500158272
Mpanda,Rukwa,TZ,-6.35957436231,31.0500321032
Tunduma,Mbeya,TZ,-9.28461545933,32.7749397367
Tukuyu,Mbeya,TZ,-9.24957883824,33.6400032132
Karonga,Chitipa,MW,-9.93289630243,33.9333186429
Itigi,Singida,TZ,-5.69961464551,34.4800036201
Mbeya,Mbeya,TZ,-8.89001422235,33.4300418688
Singida,Singida,TZ,-4.81961668002,34.7400394274
Kahama,Shinyanga,TZ,-3.8195743623,32.5800162341
Nzega,Tabora,TZ,-4.20962807324,33.1800312894
Tabora,Tabora,TZ,-5.02001788444,32.8000028063
Shinyanga,Shinyanga,TZ,-3.65958412793,33.420016641
Mbulu,Arusha,TZ,-3.84959836947,35.5300170479
Iringa,Iringa,TZ,-7.76961749383,35.6900072823
Namanga,Rift Valley,KE,-2.53960081087,36.8000170479
Eldama Ravine,Rift Valley,KE,0.05037029917,35.7200312894
Uvinza,Kigoma,TZ,-5.11959836947,30.39002071
Geita,Mwanza,TZ,-2.86619586295,32.1666047757
Biharamulo,Kagera,TZ,-2.62962115592,31.3100162341
Musoma,Mara,TZ,-1.48958738313,33.7999934476
Kalangala,Kalangala,UG,-0.3088889,32.225
Mbala,Northern,ZM,-8.84004311232,31.370012572
Mwanza,Mwanza,TZ,-2.52001544303,32.93002071
Bukoba,Kagera,TZ,-1.31962359732,31.7999604886
Kisii,Nyanza,KE,-0.66958575552,34.7599865303
Nyahanga,Mwanza,TZ,-2.38291786816,33.5500345446
Sotik,Rift Valley,KE,-0.67955930695,35.1200162341
Kisumu,Nyanza,KE,-0.09003456737,34.7500129789
Karungu,Nyanza,KE,-0.84962644563,34.1499979235
Arusha,Arusha,TZ,-3.36001584993,36.6699991442
Mubende,Mubende,UG,0.59044069305,31.370012572
Mityana,Busujju,UG,0.40042645152,32.0500227445
Bombo,Bamunanika,UG,0.58329910562,32.5332995249
Mpigi,Mpigi,UG,0.225,32.3136111
Jinja,Jinja,UG,0.44042401011,33.1999267158
Kampala,Kampala,UG,0.31665895477,32.5833235257
Yangambi,Orientale,CD,0.77037803029,24.4300227445
Busia,Busia,UG,0.4544444,34.0758333
Iganga,Iganga,UG,0.6091667,33.4686111
Kendu Bay,Nyanza,KE,-0.3595788382,34.6399938545
Entebbe,Wakiso,UG,0.06039552703,32.4600235583
Kakamega,Western,KE,0.29040732717,34.7300141996
Mangochi,Mangochi,MW,-14.4595967419,35.2699812406
Masasi,Mtwara,TZ,-10.7295918591,38.799946654
Njombe,Iringa,TZ,-9.32962563186,34.7700117582
Morogoro,Morogoro,TZ,-6.82001137403,37.6600162341
Songea,Ruvuma,TZ,-10.6800341605,35.6500097237
